014904979010_01_P002, 40831024, 150079, 426277, 41407380
014904980010_01_P004, 45806571, 579732, 229413, 46615716
014905003010_01_P001, 24475423, 383632, 19919287, 44778342
014905003010_01_P002, 25629180, 421753, 18540611, 44591544
014905026010_01_P009, 38727036, 2531088, 419666, 41677790
014905026010_01_P010, 14964591, 969014, 25834681, 41768286
014905037010_01_P001, 43368352, 243189, 255339, 43866880
014905039010_01_P001, 8821303, 37693, 25765484, 34624480
014905041010_01_P001, 41669896, 190254, 341842, 42201992
014905042010_01_P001, 48851294, 252489, 56467, 49160250
014905046010_01_P001, 42878628, 188808, 317686, 43385122
014905051010_01_P001, 46588520, 60914, 369489, 47018923
014905463010_01_P002, 14835184, 937500, 27559722, 43332406
014905463010_01_P003, 42133768, 2816443, 311065, 45261276
014905469010_01_P001, 39166891, 1498141, 453321, 41118353
014905471010_01_P001, 28027475, 1652829, 15573984, 45254288
014905471010_01_P002, 44510957, 2605567, 825348, 47941872
014905472010_01_P002, 33189221, 2088756, 682040, 35960017
014905472010_01_P003, 14269215, 960055, 22471088, 37700358
014905476010_01_P001, 47549764, 2908650, 27626, 50486040
014905476010_01_P002, 47918698, 2909112, 35518, 50863328
014905489010_01_P001, 8739413, 660854, 36691605, 46091872
014905489010_01_P002, 13076620, 951459, 31806497, 45834576
014905491010_01_P004, 47066269, 2249569, 75962, 49391800
014905506010_01_P002, 18425675, 501433, 22763604, 41690712
014905506010_01_P003, 40213771, 1026884, 392169, 41632824
014905523010_01_P001, 38027287, 196111, 602130, 38825528
014905535010_01_P004, 33754208, 528323, 12572369, 46854900
014905535010_01_P005, 46934851, 708336, 195069, 47838256
014905645010_01_P003, 41422380, 56576, 373204, 41852160
014905647010_01_P001, 26097604, 33713, 20007867, 46139184
014905647010_01_P002, 16740337, 20109, 28952261, 45712707
014905701010_01_P004, 43495345, 512253, 297314, 44304912
014905702010_01_P009, 36882012, 98174, 579214, 37559400
014905703010_01_P004, 38421086, 315400, 575982, 39312468
014905718010_01_P003, 32621035, 1816514, 5947369, 40384918
014906040010_01_P009, 44345598, 242206, 3922871, 48510675
014906079010_01_P009, 39275920, 1888832, 487200, 41651952
014906079010_01_P010, 12665740, 616025, 26843075, 40124840
014906121010_01_P009, 37193772, 167302, 597326, 37958400
014906134010_01_P001, 20705186, 420203, 23920703, 45046092
014906134010_01_P002, 46774923, 984673, 244394, 48003990
014906140010_01_P003, 34207928, 1072044, 3669892, 38949864
014906140010_01_P004, 7036074, 198686, 31441260, 38676020
014906141010_01_P008, 48488400, 934580, 116356, 49539336
014906141010_01_P009, 48484606, 938446, 116284, 49539336
014906144010_01_P009, 49002294, 2297325, 85227, 51384846
014906157010_01_P005, 37542248, 288898, 559594, 38390740
014906186010_01_P004, 17015481, 323446, 1369925, 18708852
014906197010_01_P002, 19647834, 547359, 1247787, 21442980
014906197010_01_P003, 17817584, 478739, 5855432, 24151755
014906198010_01_P001, 35896608, 879368, 575656, 37351632
014906198010_01_P002, 35882648, 875360, 569164, 37327172
014906226010_01_P003, 18453581, 892662, 1866013, 21212256
014906230010_01_P002, 9012037, 602718, 29955149, 39569904
014906230010_01_P003, 36362733, 2438795, 485846, 39287374
