012579362010_01_P001, 20154385, 237737, 118663, 20510785
012579363010_01_P001, 21273914, 332620, 36434, 21642968
012579367010_01_P001, 17409760, 129160, 467115, 18006035
012579368010_01_P001, 20095641, 1544709, 21330, 21661680
012579369010_01_P001, 14694522, 492247, 639899, 15826668
012579370010_01_P001, 16266685, 1280913, 411980, 17959578
012579371010_01_P001, 21112169, 442335, 18846, 21573350
012579372010_01_P001, 19906562, 440349, 195289, 20542200
014221511010_01_P001, 16233153, 681492, 538731, 17453376
014221513010_01_P001, 19131202, 64314, 353660, 19549176
014221517010_01_P001, 20611835, 95561, 87932, 20795328
014221518010_01_P001, 17673745, 2733, 389330, 18065808
014225361010_01_P001, 17998840, 1725097, 227671, 19951608
014225369010_01_P001, 16385032, 589195, 541773, 17516000
014225370010_01_P001, 16048095, 1580424, 513405, 18141924
014225373010_01_P001, 17210321, 484118, 468461, 18162900
014225373010_01_P002, 17204768, 490064, 459500, 18154332
014225376010_01_P001, 16027462, 1461918, 495770, 17985150
014225378010_01_P001, 18325806, 1324221, 332565, 19982592
014225381010_01_P001, 16721361, 126847, 547280, 17395488
014225382010_01_P001, 16508301, 559204, 435442, 17502947
014225383010_01_P001, 19110648, 376583, 229384, 19716615
014225384010_01_P001, 18088470, 887201, 328102, 19303773
014225547010_01_P001, 15779344, 1528373, 492073, 17799790
014225548010_01_P001, 20520457, 1013062, 67857, 21601376
014225551010_01_P001, 16914082, 186804, 527599, 17628485
014225552010_01_P001, 18468551, 1683691, 151502, 20303744
014225555010_01_P001, 17264313, 12639, 539808, 17816760
014225561010_01_P001, 20879703, 368100, 44989, 21292792
014232220010_01_P001, 18218337, 310500, 283971, 18812808
014233127010_01_P001, 16771181, 572653, 493713, 17837547
014233127010_01_P002, 16759669, 575991, 498078, 17833738
014233130010_01_P001, 16516732, 555057, 531379, 17603168
014233132010_01_P001, 21497181, 68849, 21811, 21587841
014233135010_01_P001, 17981117, 1897488, 188075, 20066680
014233135010_01_P002, 17981033, 1897324, 188323, 20066680
014233314010_01_P001, 18656175, 1305412, 172238, 20133825
014416139010_01_P001, 18645696, 501030, 169846, 19316572
014418129010_01_P001, 18645694, 501151, 169727, 19316572
014418130010_01_P001, 18614450, 114564, 400291, 19129305
014418131010_01_P001, 16833397, 61536, 550044, 17444977
014418133010_01_P001, 18978908, 70470, 276032, 19325410
014418136010_01_P001, 19275409, 68982, 42031, 19386422
014418137010_01_P001, 18277117, 478702, 152143, 18907962
014418138010_01_P001, 10468289, 117708, 8140597, 18726594
014418138010_01_P002, 18723858, 223036, 343176, 19290070
014418139010_01_P003, 18443701, 382405, 294406, 19120512
014418141010_01_P001, 17227591, 55798, 521079, 17804468
014418142010_01_P001, 17457024, 137260, 475358, 18069642
014418145010_01_P001, 17244078, 57636, 532024, 17833738
014418146010_01_P001, 18493638, 150935, 112039, 18756612
014422355010_01_P001, 16771177, 572550, 493820, 17837547
014422355010_01_P002, 16759449, 576073, 498216, 17833738
014422445010_01_P006, 6263184, 295269, 8922285, 15480738
014422445010_01_P007, 14313495, 629813, 662632, 15605940
014422456010_01_P001, 18802105, 189432, 307365, 19298902
014422456010_01_P002, 18803113, 188854, 306935, 19298902
014462241010_01_P006, 19156873, 63416, 289359, 19509648
014462241010_01_P007, 19157068, 63493, 289087, 19509648
014462250010_01_P003, 13727002, 67692, 882146, 14676840
014462250010_01_P004, 8672497, 44400, 6001943, 14718840
014462251010_01_P004, 19026663, 1743607, 88346, 20858616
014462258010_01_P002, 15106138, 2248, 663160, 15771546
014462260010_01_P001, 14738519, 5683, 701363, 15445565
014462269010_01_P006, 9521624, 390558, 7164932, 17077114
014462269010_01_P007, 15838667, 630619, 587489, 17056775
014462555010_01_P003, 14396490, 868743, 736247, 16001480
014462565010_01_P004, 12737218, 383927, 3518972, 16640117
014522296010_01_P001, 19747041, 27998, 220575, 19995614
