014904994010_01_P008, 17479847, 18708, 95011, 17593566
014904997010_01_P001, 6434335, 10180, 9556390, 16000905
014904997010_01_P002, 15735396, 29723, 155826, 15920945
014905000010_01_P008, 14763398, 76458, 188908, 15028764
014905007010_01_P001, 18344857, 145309, 76282, 18566448
014905024010_01_P008, 16099326, 58222, 136450, 16293998
014905029010_01_P001, 5054681, 9404, 11861268, 16925353
014905030010_01_P001, 17186998, 44108, 103494, 17334600
014905038010_01_P001, 5491256, 9155, 8998619, 14499030
014905038010_01_P002, 14394411, 30143, 219346, 14643900
014905040010_01_P001, 18721659, 99814, 4266, 18825739
014905040010_01_P002, 8280763, 50990, 10489809, 18821562
014905049010_01_P008, 13129656, 721406, 232412, 14083474
014905486010_01_P001, 7365165, 175046, 8617039, 16157250
014905540010_01_P001, 16790383, 24572, 114359, 16929314
014905554010_01_P001, 14245838, 82635, 219991, 14548464
014905716010_01_P001, 16607926, 38825, 110381, 16757132
014906013010_01_P001, 16358692, 905725, 1319283, 18583700
014906016010_01_P001, 15486260, 761122, 171927, 16419309
014906018010_01_P001, 15793688, 936128, 121512, 16851328
014906019010_01_P001, 13666163, 724700, 211088, 14601951
014906024010_01_P001, 10008391, 92558, 4512331, 14613280
014906024010_01_P002, 14196557, 131325, 228217, 14556099
014906026010_01_P008, 15952452, 464724, 144210, 16561386
014906084010_01_P007, 15121375, 728296, 159241, 16008912
014906105010_01_P008, 14389993, 510163, 194484, 15094640
014906222010_01_P001, 2921812, 9626, 13406871, 16338309
