011616223010_01_P001, 17595895, 741254, 185994, 18523143
011616225010_01_P001, 15484153, 2154660, 283183, 17921996
011616275010_01_P001, 8517086, 71947, 903798, 9492831
011616278010_01_P001, 4014848, 686488, 11363832, 16065168
011616324010_01_P001, 12404977, 2665240, 454990, 15525207
011616339010_01_P001, 8189342, 132807, 916835, 9238984
014235251010_01_P001, 12405083, 2665113, 455011, 15525207
014418365010_01_P004, 12988488, 621504, 522952, 14132944
014418365010_01_P005, 12985250, 625020, 522674, 14132944
014418366010_01_P005, 640756, 139398, 14110022, 14890176
014418367010_01_P005, 16977117, 581454, 312611, 17871182
014418368010_01_P002, 13626727, 2017961, 428505, 16073193
014418371010_01_P002, 6563632, 576815, 7150653, 14291100
014418372010_01_P002, 11672996, 981750, 649455, 13304201
014418373010_01_P005, 13126970, 834576, 594991, 14556537
014418375010_01_P004, 6356178, 214454, 9362588, 15933220
014418375010_01_P005, 15263339, 605466, 506239, 16375044
014418378010_01_P004, 12307434, 658252, 5185118, 18150804
014418378010_01_P005, 17072601, 772615, 284459, 18129675
014418380010_01_P004, 8441731, 265059, 9359198, 18065988
014418380010_01_P005, 15992611, 544629, 330681, 16867921
014422087010_01_P005, 16559605, 137377, 413816, 17110798
014422089010_01_P004, 14815017, 370967, 4361236, 19547220
014422089010_01_P005, 18523009, 404992, 119119, 19047120
014422090010_01_P004, 17380970, 1718303, 214679, 19313952
014422093010_01_P004, 15017292, 1433276, 2727448, 19178016
014422093010_01_P005, 16556113, 1460959, 257425, 18274497
014422094010_01_P001, 11146543, 2086840, 4063697, 17297080
014422094010_01_P002, 16134667, 2701003, 487081, 19322751
014422095010_01_P001, 8935400, 2002833, 7576295, 18514528
014422095010_01_P002, 14792703, 2912030, 293247, 17997980
014422097010_01_P001, 15201152, 2764887, 1506214, 19472253
014422097010_01_P002, 15441097, 2713200, 1, 235726, 18390024
014422098010_01_P001, 15853224, 856659, 2393878, 19103761
014422098010_01_P002, 17615066, 889237, 191181, 18695484
014422099010_01_P001, 15602506, 1843538, 311255, 17757299
014422101010_01_P001, 15849515, 1440517, 2661393, 19951425
014422101010_01_P002, 17562654, 1476374, 103936, 19142964
014422102010_01_P002, 15897061, 357681, 514659, 16769401
014422103010_01_P001, 11775797, 850184, 5371999, 17997980
014422103010_01_P002, 16498652, 1027148, 273704, 17799504
014422104010_01_P001, 10823037, 311665, 6534314, 17669016
014422104010_01_P002, 17063390, 425945, 259529, 17748864
014422105010_01_P001, 15658766, 222557, 368573, 16249896
014422106010_01_P001, 9268458, 110765, 7447613, 16826836
014422106010_01_P002, 15428632, 165944, 506544, 16101120
014422107010_01_P001, 8395062, 119432, 10168198, 18682692
014422107010_01_P002, 17436927, 284050, 302491, 18023468
014422108010_01_P001, 17453178, 157082, 298840, 17909100
014422109010_01_P001, 1974187, 17349, 13997670, 15989206
014422109010_01_P002, 15700560, 166200, 479765, 16346525
014422110010_01_P001, 699749, 4578, 15840923, 16545250
014422110010_01_P002, 15432737, 105366, 494985, 16033088
014422111010_01_P001, 16549774, 281172, 2447830, 19278776
014422111010_01_P002, 18908547, 295520, 65920, 19269987
014422112010_01_P001, 16070896, 243691, 360849, 16675436
014422113010_01_P001, 11692139, 73105, 4191958, 15957202
014422113010_01_P002, 15428975, 81064, 507021, 16017060
014422114010_01_P001, 14128934, 111847, 595369, 14836150
014422114010_01_P002, 8390896, 69572, 6499314, 14959782
014422115010_01_P002, 17726995, 400447, 172738, 18300180
014422117010_01_P002, 15370884, 334536, 468078, 16173498
014422118010_01_P002, 17375688, 1887438, 1, 50825, 19313952
014422119010_01_P002, 17792704, 553032, 168792, 18514528
014422120010_01_P002, 13800226, 2878789, 415225, 17094240
014422121010_01_P002, 17780773, 794206, 1, 137820, 18712800
014422122010_01_P002, 12958197, 2748895, 490568, 16197660
014422123010_01_P004, 4897140, 142489, 8805539, 13845168
014422123010_01_P005, 6141689, 171876, 7531603, 13845168
014422124010_01_P001, 547364, 83544, 18740080, 19370988
014422124010_01_P002, 16030678, 3588101, 1, 56795, 19675575
014422125010_01_P002, 14654278, 2379318, 330156, 17363752
014422126010_01_P002, 14170852, 1637672, 1, 449442, 16257967
014422127010_01_P002, 16685014, 2653534, 76520, 19415068
014422128010_01_P002, 14187869, 1644010, 462255, 16294134
014771203010_01_P004, 10221232, 153798, 7695026, 18070056
014771203010_01_P005, 18474347, 261597, 228456, 18964400
014771206010_01_P004, 15374951, 1878373, 1136700, 18390024
014771211010_01_P008, 16773242, 1216205, 221109, 18210556
014771211010_01_P009, 16769974, 1223860, 1, 216721, 18210556
