012579327010_01_P001, 37544167, 1611288, 891873, 40047328
012579350010_01_P001, 17736126, 225137, 3056942, 21018205
012579358010_01_P001, 18533713, 902020, 24655285, 44091018
012579359010_01_P001, 12039554, 543550, 25763506, 38346610
014221412010_01_P001, 26014076, 2335921, 7536729, 35886726
014232218010_01_P001, 40430246, 165935, 924747, 41520928
014232219010_01_P001, 7832579, 22961, 38957666, 46813206
014233133010_01_P001, 39793936, 150424, 1020848, 40965208
014233134010_01_P001, 44554805, 4301496, 160729, 49017030
014416140010_01_P005, 16263152, 1292006, 24834810, 42389968
014418147010_01_P005, 16263143, 1292018, 24834807, 42389968
014418148010_01_P005, 36611547, 128748, 1397495, 38137790
014418148010_01_P006, 31193159, 112527, 7535424, 38841110
014418149010_01_P001, 44888556, 178146, 394854, 45461556
014418156010_01_P001, 37741376, 1607858, 1069732, 40418966
014418157010_01_P003, 38082040, 2772328, 852632, 41707000
014418158010_01_P001, 39561112, 95520, 1041410, 40698042
